list_price,num_reviews,piece_count,play_star_rating,prod_id,review_difficulty,star_rating,val_star_rating
29.99,2,277,4,75823,Average,4.5,4
19.99,2,168,4,75822,Easy,5,4
12.99,11,74,4.3,75821,Easy,4.3,4.1
99.99,23,1032,3.6,21030,Average,4.6,4.3
79.99,14,744,3.2,21035,Challenging,4.6,4.1
59.99,7,597,3.7,21039,Average,4.9,4.4
59.99,37,598,3.7,21028,Average,4.2,4.1
49.99,24,780,4.4,21029,Average,4.7,4.3
39.99,23,468,3.6,21034,Average,4.7,4.1
39.99,11,444,3.6,21033,Average,4.8,4.5
39.99,14,386,4.1,21036,Average,4.4,3.6
34.99,53,321,3.2,21019,Average,4.6,4.4
29.99,7,361,4.2,21032,Easy,4.6,4.2
159.99,63,847,3.8,17101,Average,3.4,3.5
29.99,13,708,4.7,41597,Average,4.8,4.8
19.99,1,234,3,41614,Easy,5,5
19.99,1,160,5,41613,Very Easy,5,5
9.99,1,149,2,41609,Very Easy,3,4
9.99,1,141,2,41608,Very Easy,4,4
9.99,3,101,4,41604,Average,4.7,4.5
9.99,2,105,3,41605,Easy,5,5
9.99,1,113,5,41606,Easy,5,5
9.99,1,136,,41607,,5,
9.99,2,91,3,41485,Easy,4.5,4
9.99,7,140,3.2,40270,Easy,4.9,4.7
9.99,5,143,4.6,41599,Easy,5,5
9.99,3,122,2.7,41598,Very Easy,4,3
9.99,5,130,4.3,41603,Easy,5,4.8
9.99,3,119,4.5,41602,Easy,5,4.5
9.99,1,135,1,41600,Very Easy,4,3
9.99,2,108,3.5,41601,Easy,5,4
19.99,1,240,3,41611,Easy,5,5
19.99,,209,,41610,,,
9.99,4,126,2,40271,Easy,5,4.5
9.99,7,102,4,41487,Easy,5,4.7
9.99,5,89,3.2,41488,Very Easy,4.4,4
9.99,6,118,3.3,41594,Very Easy,5,4.7
9.99,3,127,3.5,41486,Very Easy,4.7,4.7
9.99,11,91,3.8,41585,Very Easy,4.9,4.7
9.99,8,96,4,41590,Easy,4.9,4.4
9.99,9,109,3.6,41593,Easy,4.8,4.6
9.99,8,93,3.9,41592,Easy,4.6,4.1
9.99,10,139,4.2,41595,Easy,4.8,4.7
9.99,2,116,5,41596,Average,5,5
9.99,12,151,3.3,41588,Easy,4.8,4.7
9.99,4,143,3.5,41591,Easy,4.8,4.8
9.99,10,101,4.3,41587,Very Easy,4.8,4.9
9.99,9,99,3.5,41586,Easy,4.3,4.6
49.99,,387,,60175,,,
199.99,35,888,4.7,60052,Average,4.4,3.8
149.99,45,610,4.4,60051,Average,4.4,4
149.99,1,1250,5,60162,Average,5,4
119.99,3,792,3.3,60167,Average,3.7,3.3
119.99,6,813,4.5,60161,Average,4.3,4
99.99,10,894,4.2,60141,Easy,4.7,4
99.99,1,883,5,60188,,5,5
99.99,16,919,4.5,60110,Average,4.6,4.6
89.99,8,663,4.4,60174,Average,4.6,4
79.99,4,740,5,60169,Average,5,4.3
69.99,9,561,3.9,60140,Easy,3.3,3.6
59.99,3,426,4.7,60160,Average,5,4.7
59.99,2,303,4.5,60173,Average,4,2.5
59.99,8,415,4.4,60166,Challenging,4.4,4
49.99,10,374,3.9,60139,Easy,4,3.3
49.99,16,337,3.6,60154,Easy,3.3,2.7
49.99,1,294,4,60186,Average,5,4
39.99,10,169,4.3,60153,Very Easy,4.1,3.6
39.99,14,294,4.2,60138,Average,4.2,4.1
39.99,2,347,4.5,60165,Very Easy,5,5
39.99,,297,,60172,,,
39.99,5,378,4.8,60159,Easy,4.8,4.6
39.99,8,257,4.2,60108,Average,3.9,3.8
29.99,7,344,5,60182,Easy,5,5
29.99,7,310,4.4,60183,Easy,4.7,4.7
24.99,11,214,4.5,60107,Easy,4.5,4.1
19.99,4,192,5,60180,Average,5,5
19.99,35,249,4.6,60150,Easy,4.9,4.8
19.99,89,24,2.9,7499,Easy,2.5,2.2
19.99,12,239,4.7,60148,Easy,4.8,4.6
19.99,6,190,4.2,60179,Easy,3.8,4.7
19.99,7,174,4.3,60181,Easy,4.4,4.2
19.99,8,144,4.4,60137,Easy,4.3,4
19.99,1,126,5,60176,Easy,5,4
19.99,1,127,5,60185,Easy,5,5
19.99,,115,,10751,,,
19.99,3,141,4.3,60164,Easy,4.3,4.7
19.99,5,201,4.3,60158,Average,4.4,3.8
15.99,47,8,4.2,7895,Very Easy,4.1,3.6
14.99,85,2,4.1,7280,Very Easy,3.5,2.3
14.99,40,2,4.1,7281,Very Easy,3.9,2.8
9.99,2,87,4.5,60177,Easy,4.5,5
9.99,12,88,4.5,60157,Easy,4.9,4.6
9.99,,73,,10750,,,
9.99,4,76,4.8,60163,Very Easy,5,4.5
9.99,2,88,,60171,,5,
9.99,2,82,4.5,60184,Very Easy,5,4
9.99,1,78,4,60178,Easy,5,4
6.99,2,37,4.5,60170,Very Easy,4.5,5
6.99,5,53,3.8,60156,Easy,3.6,4.2
39.99,30,157,4.7,60134,Very Easy,4.6,4
149.99,5,1277,5,60125,Average,4.6,4.2
119.99,9,824,5,60124,Average,4.6,4.6
79.99,2,412,4.5,60109,Easy,4.5,4
49.99,2,403,4.5,60143,,4,3.5
49.99,5,200,3.8,60129,Easy,3.2,2
49.99,3,330,4.7,60123,Easy,4.3,4
39.99,4,324,5,60122,Average,5,4.5
29.99,14,301,4,60119,Easy,4.2,4.2
29.99,,195,,60168,,,
29.99,8,248,3.4,60155,Easy,3.8,3.5
24.99,13,157,4.4,60101,Easy,4.6,4.2
24.99,6,175,4.8,60121,Easy,4.8,4.4
19.99,35,250,4.5,60117,Easy,4.6,4.6
19.99,7,138,4.7,60142,Easy,4.4,4.1
9.99,8,80,4.1,60136,Easy,4.6,4.3
9.99,8,91,4.3,60146,Easy,4.8,4.4
9.99,7,81,4.9,60145,Very Easy,4.9,4.9
9.99,7,83,4.7,60120,Easy,4.3,4.3
9.99,10,81,4.4,60100,Very Easy,4.9,5
9.99,11,90,3.9,60106,Easy,4.1,4.1
6.99,5,47,4.3,60135,Very Easy,4.4,4.6
59.99,4,790,5,10698,Easy,5,5
34.99,11,484,4.6,10696,Easy,4.6,4.7
19.99,2,213,5,10713,Very Easy,5,5
19.99,8,303,4.8,10693,Easy,4.9,4.9
16.99,7,221,4.3,10692,Easy,4.1,4.3
14.99,24,1,4.3,10701,Very Easy,4.1,3.5
7.99,6,1,4.7,10714,Very Easy,4.7,4.3
7.99,46,1,3.2,10700,Very Easy,2.6,2.5
4.99,8,78,4.6,10706,Very Easy,4.8,5
4.99,5,66,4.5,10708,Easy,4.8,4.5
4.99,4,55,4.3,10707,Average,4.5,4.3
4.99,3,60,2.7,10709,Easy,4.7,5
2.49,180,1,4,630,Very Easy,4.8,4.6
19.99,6,303,4.3,10694,Easy,4.5,4.3
7.99,24,1,3.9,10699,Very Easy,3.6,2.9
69.99,11,728,3.2,31069,Average,3.4,3.2
59.99,14,670,4.2,31070,Average,4.5,4.3
39.99,4,422,4,31081,Average,4.8,4.3
34.99,5,379,4,31079,Easy,4.4,4.2
34.99,2,374,4,31080,Easy,3.5,4
29.99,12,285,4.3,31066,Easy,4.2,4.4
29.99,10,386,3.2,31068,Average,3.8,3.9
29.99,8,356,4,31067,Average,4.6,4.9
19.99,9,205,4.5,31062,Average,4.8,4.3
19.99,2,241,4.5,31074,Easy,5,5
19.99,1,200,5,31076,Average,5,5
19.99,1,225,5,31075,Easy,4,4
14.99,27,174,4.5,31058,Easy,4.7,4.7
14.99,5,223,4.7,31073,Easy,4.4,5
9.99,6,122,4.5,31056,Easy,4.5,4.7
9.99,1,102,4,31057,Easy,4,4
9.99,1,109,5,31071,Average,5,5
9.99,,109,,31072,,,
19.99,8,222,4.3,31046,Average,4.6,4.5
19.99,1,194,5,31059,Average,5,5
59.99,15,528,4.7,31051,Average,4.7,4.3
29.99,2,359,5,31064,Average,4.5,4.5
29.99,9,286,4.5,31035,Easy,4.4,4.1
29.99,5,275,4,31063,Average,4.2,3.4
29.99,4,326,4.8,31049,Average,5,4.8
19.99,7,230,4.8,31047,Average,4.9,4.7
19.99,,246,,31060,,,
9.99,2,124,4,31043,Easy,5,4.5
9.99,4,132,4,31029,Average,4.8,4.8
369.99,43,5923,3.9,10256,Challenging,4.8,4.5
169.99,62,2480,4.4,10260,Challenging,4.6,4.3
79.99,51,902,3.8,10259,Average,3.8,3.4
279.99,99,4002,4.7,10255,Challenging,4.8,4.5
249.99,64,4163,3.7,10253,Challenging,4.6,4.6
239.99,228,4295,4.2,10214,Challenging,4.8,4.6
199.99,53,2670,4.2,10257,Challenging,4.4,4.2
199.99,91,2464,4.9,10247,Challenging,4.9,4.7
169.99,115,2382,4.5,10251,Challenging,4.7,4.2
159.99,202,2469,4.7,10243,Challenging,4.9,4.7
159.99,177,2262,4.4,10246,Challenging,4.6,4.4
139.99,53,1686,4.1,10258,Average,4.6,4.3
119.99,337,1334,4.3,10220,Challenging,4.7,4.5
99.99,66,1167,4.5,10252,Average,4.9,4.7
99.99,134,1077,4.4,10242,Average,4.7,4.5
99.99,77,734,4.3,10254,Average,4.3,4.1
269.99,19,3444,4.9,70922,Challenging,5,4.9
129.99,13,955,4.1,76087,Average,3.7,3
89.99,6,267,4.7,71171,Average,4.3,4
79.99,9,643,4.4,70923,Average,4.8,3.5
49.99,6,622,5,76086,Average,5,4.8
49.99,5,425,3.2,70921,Average,3.2,2.6
39.99,5,406,5,76097,Average,4.8,4.8
29.99,6,271,4.5,76098,Easy,4.8,4.5
29.99,5,267,3.6,70919,Easy,3.2,3.4
29.99,11,293,4.9,70920,Average,4.7,4.6
24.99,1,151,5,10753,Easy,5,5
19.99,2,198,4,70918,,4.5,4
19.99,9,197,3.9,76085,Easy,4.2,3.9
19.99,1,199,5,76096,Average,5,5
9.99,5,143,4.6,41599,Easy,5,5
9.99,3,122,2.7,41598,Very Easy,4,3
9.99,1,135,1,41600,Very Easy,4,3
9.99,2,108,3.5,41601,Easy,5,4
19.99,,209,,41610,,,
79.99,7,712,3.7,41232,Average,3.9,3.6
24.99,4,206,5,41230,Easy,4.5,4.3
29.99,2,217,5,41231,Average,5,4.5
14.99,2,145,4.5,41233,Average,4,5
269.99,47,2526,4.5,76052,Average,4.6,4.2
99.99,,1078,,41239,,,
79.99,11,759,4.2,76055,Average,4.3,3.9
59.99,9,563,4.7,76054,Easy,4.6,4.4
59.99,,432,,41238,,,
44.99,1,351,5,41237,Average,5,5
29.99,18,306,4.5,76045,Average,4.6,4.3
29.99,7,286,5,76075,Easy,4.7,4.8
29.99,8,257,4.5,76056,Average,4.4,3.9
19.99,32,174,4.6,76025,Easy,4.8,4.7
14.99,2,142,4.5,41234,Average,4,3.5
12.99,30,91,4.3,76044,Easy,4.3,4.4
9.99,11,91,3.8,41585,Very Easy,4.9,4.7
9.99,3,93,4.7,76068,Easy,4.7,5
9.99,12,151,3.3,41588,Easy,4.8,4.7
9.99,10,101,4.3,41587,Very Easy,4.8,4.9
9.99,1,83,5,76069,Easy,5,5
9.99,2,85,5,76070,Easy,5,5
9.99,9,99,3.5,41586,Easy,4.3,4.6
79.99,7,712,3.7,41232,Average,3.9,3.6
24.99,4,206,5,41230,Easy,4.5,4.3
29.99,2,217,5,41231,Average,5,4.5
14.99,2,145,4.5,41233,Average,4,5
99.99,,1078,,41239,,,
59.99,,432,,41238,,,
44.99,1,351,5,41237,Average,5,5
14.99,2,142,4.5,41234,Average,4,3.5
14.99,,56,,71287,,,
89.99,6,267,4.7,71171,Average,4.3,4
14.99,1,56,4,71343,Easy,5,5
24.99,,93,,71346,,,
14.99,1,56,5,71349,Easy,5,5
24.99,2,105,3.5,71255,Easy,4,3.5
49.99,5,259,4.8,71242,Average,4.2,3.6
44.99,2,156,4.5,71264,Easy,4.5,3.5
29.99,2,118,5,71267,Average,5,5
29.99,6,76,4.2,71248,Easy,4.5,3.4
24.99,2,92,4,71229,Easy,4,3.5
24.99,11,96,3.4,71235,Average,3.2,3.7
14.99,1,64,5,71348,Very Easy,5,5
14.99,2,46,5,71266,Average,5,5
11.99,7,40,4.5,71238,Easy,4.6,4.3
11.99,3,39,4,71218,Easy,4.3,3.7
11.99,4,59,4,71232,Average,3.8,3
349.99,171,4080,4.5,71040,Challenging,4.7,4.5
199.99,52,2294,3.3,71042,Average,4.5,4.3
79.99,5,701,4,41148,Average,4,3.8
69.99,3,585,4.3,41154,Challenging,4.3,3.3
49.99,3,380,4.3,41153,Average,4.3,3.3
39.99,3,307,4.7,41150,Easy,4.7,4.7
39.99,3,322,4.7,41152,Easy,4.3,4.3
39.99,4,350,4.3,41146,Average,4.8,4.3
34.99,2,191,5,10744,Average,5,4.5
29.99,2,222,5,41145,Average,5,4.5
24.99,3,94,4.7,10736,Average,4.7,4.7
19.99,2,116,5,10743,Easy,4.5,5
19.99,2,95,2.5,10742,Easy,3,3
19.99,,125,,41155,,,
14.99,1,104,5,41151,Average,5,5
9.99,8,47,3.9,10730,Very Easy,4,3.9
9.99,3,62,4.3,10733,Easy,4.7,5
9.99,1,115,4,40307,Easy,5,4
9.99,1,80,5,40388,Easy,5,5
9.99,1,75,5,10732,,5,5
9.99,3,59,4.3,10731,Easy,5,4.3
9.99,6,118,3.3,41594,Very Easy,5,4.7
29.99,11,174,4.3,41066,Easy,4,3.8
24.99,2,205,5,41149,Challenging,4.5,4.5
19.99,1,186,5,41142,Very Easy,5,5
19.99,2,153,5,41147,Easy,5,5
9.99,9,109,3.6,41593,Easy,4.8,4.6
9.99,10,139,4.2,41595,Easy,4.8,4.7
9.99,2,116,5,41596,Average,5,5
9.99,,75,,41144,,,
5.99,,61,,41143,,,
29.99,,22,,10880,,,
19.99,1,24,,10879,,5,
109.99,22,134,4.6,10508,Average,4.1,3.7
99.99,8,163,4.9,10805,Easy,5,4.8
79.99,1,106,4,10840,Easy,5,4
59.99,,104,,10869,,,
59.99,,98,,10836,,,
49.99,1,67,5,10813,Average,5,5
49.99,,71,,10864,,,
44.99,11,52,4.9,10507,Easy,4.7,4.4
39.99,,69,,10835,,,
39.99,,70,,10844,,,
39.99,,61,,10841,,,
39.99,3,28,5,10846,Easy,5,4.5
34.99,3,48,5,10827,Very Easy,5,5
29.99,2,57,5,10834,Average,5,5
29.99,3,28,4.3,10823,Average,4.3,3.3
29.99,1,31,5,10857,Easy,5,4
29.99,5,45,4.5,10837,Easy,4.2,3.8
29.99,,38,,10876,,,
29.99,,34,,10863,,,
29.99,1,37,5,10878,Very Easy,5,5
29.99,,59,,10868,,,
29.99,,70,,10865,,,
29.99,4,65,4.8,10572,Very Easy,5,4
24.99,2,26,5,10592,Very Easy,5,5
24.99,4,24,5,10597,Easy,4.8,4.7
24.99,,32,,10839,,,
24.99,6,24,2.2,10845,Average,2.2,3.2
24.99,,29,,10871,,,
19.99,2,39,5,10833,Average,5,5
19.99,5,23,5,10847,Easy,5,4.8
19.99,6,36,4.8,10816,Easy,5,4.7
19.99,2,26,5,10812,Average,5,5
19.99,1,23,5,10856,Easy,5,5
19.99,,26,,10867,,,
19.99,1,19,3,10877,,4,4
19.99,,28,,10861,,,
14.99,,15,,10843,,,
14.99,,19,,10832,,,
14.99,1,15,3,10809,Easy,4,3
14.99,,41,,10862,,,
14.99,15,1,4.4,2304,Easy,4,3.3
9.99,2,15,5,10838,Very Easy,5,5
9.99,,16,,10870,,,
9.99,,18,,10858,,,
4.99,,6,,10851,,,
4.99,,6,,10859,,,
4.99,,6,,10860,,,
29.99,1,28,5,10608,Average,5,5
14.99,3,13,3,10607,Easy,3.7,2.5
59.99,2,110,3,10820,Very Easy,3.5,4
49.99,2,86,4.5,10804,Easy,4.5,4
34.99,,56,,10855,,,
29.99,,39,,10606,,,
29.99,2,30,5,10822,Very Easy,5,4.5
29.99,,70,,10817,,,
24.99,,30,,10828,,,
19.99,3,29,5,10590,Easy,5,4.7
19.99,3,25,4.7,10616,Easy,5,4.7
19.99,,29,,10818,,,
14.99,3,12,5,10615,Very Easy,5,4.7
9.99,4,13,4.3,10801,Easy,5,4.3
9.99,1,13,5,10808,Very Easy,5,5
9.99,,19,,10831,,,
4.99,,10,,10849,,,
